127.0.0.1 - - [12/Jun/2022:11:41:19 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:41:22 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 500 2295
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:41:22 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:14 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:14 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:34 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:34 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:34 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:37 +0545] "GET /Bug_Tracking_System/Login?userid=binita12&password=binita&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:37 +0545] "GET /Bug_Tracking_System/DeveloperHome.jsp HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:42:40 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [12/Jun/2022:11:52:22 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 500 2173
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:00:57 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:01:01 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:01:01 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:01:02 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:01:35 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:02:14 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 500 5
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:24 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 500 5
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:56 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:58 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:58 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:59 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:59 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:59 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:03:59 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:04:00 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:04:00 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:04:03 +0545] "GET /Bug_Tracking_System/ViewSolution.jsp?bugid=22 HTTP/1.1" 200 4220
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:04:07 +0545] "GET /Bug_Tracking_System/UpdateBug.jsp?bugid=18 HTTP/1.1" 200 86319
