127.0.0.1 - - [05/Sep/2022:15:44:41 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:44 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:44 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:44 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:45 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:55 +0545] "GET /Bug_Tracking_System/Login?userid=tester&password=tester&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:55 +0545] "GET /Bug_Tracking_System/TesterHome.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:55 +0545] "GET /Bug_Tracking_System/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:57 +0545] "GET /Bug_Tracking_System/ViewBugs1.jsp?cat=Tester HTTP/1.1" 200 9201
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/Khalti-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/inspection_team.drawio%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/lead.drawio HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/salad.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/inspection_team.drawio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:44:58 +0545] "GET /Bug_Tracking_System/BugImages/admin.drawio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:45:02 +0545] "GET /Bug_Tracking_System/AssignBug.jsp?cat=Tester HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [05/Sep/2022:15:45:02 +0545] "GET /Bug_Tracking_System/testerstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:54:45 +0545] "GET /Bug_Tracking_System/AssignBug.jsp HTTP/1.1" 500 2618
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:54:45 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:42 +0545] "GET /Bug_Tracking_System/AssignBug.jsp HTTP/1.1" 200 4885
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:43 +0545] "GET /Bug_Tracking_System/js/bootstrap.min.js HTTP/1.1" 200 63467
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:43 +0545] "GET /Bug_Tracking_System/css/bootstrap.min.css HTTP/1.1" 200 161409
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:43 +0545] "GET /Bug_Tracking_System/js/popper.min.js HTTP/1.1" 200 21236
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:53 +0545] "GET /Bug_Tracking_System/images/next.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:55:53 +0545] "GET /Bug_Tracking_System/images/prev.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:57:57 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:57:57 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:02 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=admin&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:02 +0545] "GET /Bug_Tracking_System/Home.jsp?msg=Check%20Your%20userid%20and%20password. HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:12 +0545] "GET /Bug_Tracking_System/Login?userid=developer&password=developer&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:12 +0545] "GET /Bug_Tracking_System/DeveloperHome.jsp HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:14 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 9239
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:21 +0545] "GET /Bug_Tracking_System/ViewSolution.jsp?bugid=38 HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/ViewOtherBugs.jsp HTTP/1.1" 200 15851
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/Nepal HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/gis HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/fsdf HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/Resume%20maker HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/defect HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/Ezra%20Solomon HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/webgrabber HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/Resume HTTP/1.1" 404 795
